unit_name,type,pre_mspe,post_mspe,mspe_ratio,rank,fishers_exact_pvalue,z_score
Lee,Treated,0.0033263223826755887,0.3669984251321436,110.33158633197232,1,0.043478260869565216,4.578643002731369
Flagler,Donor,0.003335265994069201,0.019689154296896962,5.903323552576732,2,0.08695652173913043,-0.008949856583557179
Clay,Donor,0.004540783989061335,0.01779384742762954,3.9186729583469706,3,0.13043478260869565,-0.09613668371250578
Martin,Donor,0.013486493865315276,0.038778074077949615,2.875326564873879,4,0.17391304347826086,-0.14197148300051554
Lake,Donor,0.02752404321463941,0.07159091626812476,2.601031967209207,5,0.21739130434782608,-0.15402140037061846
Monroe,Donor,0.291700529192406,0.6998147498119,2.3990863223641985,6,0.2608695652173913,-0.16289298717674794
Santa Rosa,Donor,0.003223964027878893,0.005618964103424357,1.7428743170937862,7,0.30434782608695654,-0.1917207530463651
Walton,Donor,0.05998877291637806,0.09949653412121333,1.6585859200672015,8,0.34782608695652173,-0.19542359017139824
Pinellas,Donor,0.031905352048581956,0.04846124759265164,1.5189065307557237,9,0.391304347826087,-0.2015597850284598
Citrus,Donor,0.015659908362003167,0.01744009613715631,1.1136780454905182,10,0.43478260869565216,-0.21936170240135383
Bay,Donor,0.01704329267739326,0.016976616883572646,0.9960878572537185,11,0.4782608695652174,-0.22452750611696515
Sumter,Donor,1.012183297221564,0.9635111742740838,0.9519137264158726,12,0.5217391304347826,-0.22646810075872656
St. Lucie,Donor,0.12497133112990352,0.08245634272811624,0.6598020680631594,13,0.5652173913043478,-0.23930073171814875
Hernando,Donor,0.013671795534538803,0.00846422747033173,0.6191013791091821,14,0.6086956521739131,-0.24108873608636186
Nassau,Donor,0.005030617493154035,0.0029558718480297915,0.5875763466517417,15,0.6521739130434783,-0.24247364865640952
Wakulla,Donor,0.14151298769391907,0.06514600921507417,0.46035357091025186,16,0.6956521739130435,-0.24806261740873697
Gulf,Donor,0.1670502379037845,0.07136960746660014,0.4272343958450793,17,0.7391304347826086,-0.24951756156840718
Volusia,Donor,0.019800440344147886,0.0084535337118254,0.4269366521600557,18,0.782608695652174,-0.24953064161749508
Marion,Donor,0.034650730914264516,0.0140348768615729,0.40503840730803237,19,0.8260869565217391,-0.25049264394369386
Pasco,Donor,0.008784598900018,0.002836730901386242,0.32292093625133295,20,0.8695652173913043,-0.2541001110586121
Escambia,Donor,0.0484478415079348,0.009602891731498102,0.19821093020058156,21,0.9130434782608695,-0.25957869241213083
Okaloosa,Donor,0.07346326987196597,0.013967725929171611,0.1901321021173573,22,0.9565217391304348,-0.2599335999155193
St. Johns,Donor,0.03381244264047641,0.005199984082533069,0.153789069243647,23,1,-0.26153016997864
